sample_name	platform	qiita_prep_id	run_prefix
12802.10249.M033.02R	Illumina	7898	10249.M033.02R
12802.10249.M033.02V	Illumina	7898	10249.M033.02V
12802.10249.M033.03R	Illumina	7898	10249.M033.03R
12802.10249.M033.03V	Illumina	7898	10249.M033.03V
12802.10249.M034.01R	Illumina	7898	10249.M034.01R
12802.10249.M034.01V	Illumina	7898	10249.M034.01V
12802.10249.M034.02R	Illumina	7898	10249.M034.02R
12802.10249.M034.02V	Illumina	7898	10249.M034.02V
12802.10249.M034.03R	Illumina	7898	10249.M034.03R
12802.10249.M034.03V	Illumina	7898	10249.M034.03V
12802.10249.M035.01R	Illumina	7898	10249.M035.01R
12802.10249.M035.01SS	Illumina	7898	10249.M035.01SS
12802.10249.M035.01V	Illumina	7898	10249.M035.01V
12802.10249.M035.02R	Illumina	7898	10249.M035.02R
12802.10249.M035.02V	Illumina	7898	10249.M035.02V
12802.10249.M035.03R	Illumina	7898	10249.M035.03R
12802.10249.M036.01R	Illumina	7898	10249.M036.01R
12802.10249.M036.01SS	Illumina	7898	10249.M036.01SS
12802.10249.M036.01V	Illumina	7898	10249.M036.01V
12802.10249.M036.02R	Illumina	7898	10249.M036.02R
12802.10249.M036.03R	Illumina	7898	10249.M036.03R
12802.10249.M036.03V	Illumina	7898	10249.M036.03V
12802.10249.M037.01R	Illumina	7898	10249.M037.01R
12802.10249.M037.01SS	Illumina	7898	10249.M037.01SS
12802.10249.M037.01V	Illumina	7898	10249.M037.01V
12802.10249.M037.02R	Illumina	7898	10249.M037.02R
12802.10249.M037.02V	Illumina	7898	10249.M037.02V
12802.10249.M037.03R	Illumina	7898	10249.M037.03R
12802.10249.M037.03V	Illumina	7898	10249.M037.03V
12802.10249.M038.01R	Illumina	7898	10249.M038.01R
12802.10249.M038.01SS	Illumina	7898	10249.M038.01SS
12802.10249.M038.01V	Illumina	7898	10249.M038.01V
12802.10249.M038.02R	Illumina	7898	10249.M038.02R
12802.10249.M038.02V	Illumina	7898	10249.M038.02V
12802.10249.M038.03R	Illumina	7898	10249.M038.03R
12802.10249.M038.03V	Illumina	7898	10249.M038.03V
12802.10249.M039.01R	Illumina	7898	10249.M039.01R
12802.10249.M039.01V	Illumina	7898	10249.M039.01V
12802.10249.M041.01R	Illumina	7898	10249.M041.01R
12802.10249.M041.01SS	Illumina	7898	10249.M041.01SS
12802.10249.M041.01V	Illumina	7898	10249.M041.01V
12802.10249.M041.02R	Illumina	7898	10249.M041.02R
12802.10249.M041.02V	Illumina	7898	10249.M041.02V
12802.10249.M041.03R	Illumina	7898	10249.M041.03R
12802.10249.M041.04SS	Illumina	7898	10249.M041.04SS
12802.10249.M042.01R	Illumina	7898	10249.M042.01R
